31415,Juan,25,3124567890
27182,Ana Gómez,30,3101234567
14142,Luis Martínez,28,3019876543
17320,Camila Torres,32,3201234567
22360,José Ruiz,27,3114567890
70710,Laura Mendoza,29,3021239876
16180,Mario Pineda,40,3217654321
26535,Sofía Ríos,22,3009876543
68540,Daniel Quintero,35,3003214567
69399,Paula Ramírez,33,3007891234
57721,Andrés Gil,31,3041234567
42426,Valentina Salas,26,3149876543
44288,Juliana Castro,24,3126547890
98000,Felipe Orozco,39,3107412589
89000,Nicolás Reyes,36,3179517536
36000,Emilia Cárdenas,21,3128745123
62000,Manuel Duarte,34,3132587412
15000,Claudia Pérez,45,3167412580
25000,Samuel Moreno,29,3183692587
51984,Marcela Torres,30,3125556789
62471,Julián Pardo,33,3101145789
23895,Esteban Silva,29,3117856942
15793,Lucía Méndez,26,3004758691
99001.0,Daniel,40,3132587412
99003.0,Sofia,14,3179517536
99002.0,Valeria,35,3107412589
99008.0,Santiago,29,3167412580
